id,name,website,description,hq_country
ecoportal,ecoPortal,https://www.ecoportal.co.nz,"ecoPortal is a leading New Zealand safety, health, and environmental management software provider.",NZ
edge2020,Edge2020,https://edge2020.com.au,Edge2020 is an Australian energy management specialist providing software and brokerage services for sustainable energy procurement.,AU
eil-global,EIL Global,https://www.eilglobal.com.au,"EIL Global provides managed IT services, cloud solutions, and communication technology for enterprises across Australia.",AU
eisi-soft,EISI SOFT,https://www.eisisoft.com,EISI SOFT provides cloud-based facility management and digitalization software specifically designed for the hotel and healthcare industries.,ES
elcee,ELCEE,https://elcee.com,"ELCEE is a global supplier of industrial components and assemblies, specializing in castings, forgings, and bearings.",NL
electronic-arts-ea,Electronic Arts (EA),https://www.ea.com,"Electronic Arts (EA) is a global leader in digital interactive entertainment, developing and delivering games for consoles, PC, and mobile.",US
elfie,Elfie,https://www.elfie.co,Elfie is a gamified health app designed to help patients manage chronic diseases through rewards and monitoring.,SG
elifab,Elifab,https://www.elifab.com,Elifab is a Spanish technology company specializing in high-speed fruit sorting and grading machinery using advanced vision systems.,ES
embat,Embat,https://www.embat.io,Embat is a Spanish fintech providing a real-time treasury management platform to automate banking and financial operations for CFOs.,ES
emesent,Emesent,https://www.emesent.io,Emesent is a world leader in autonomous LiDAR mapping and data analytics for GPS-denied environments like mines.,AU
emetel,EMETEL,https://www.emetel.net,"Emetel is a Spanish technology consultancy specializing in cybersecurity, communications infrastructure, and digital transformation.",ES
emmbr,Emmbr,https://www.emmbr.com.au,"Emmbr is an Australian recruitment agency focusing on digital, technology, and project management talent solutions.",AU
employee-first,Employee First - Recruitment & Engagement,https://www.employeefirst.com.au,Employee First is an Australian recruitment and engagement consultancy focused on talent acquisition and workplace culture.,AU
encamina,ENCAMINA,https://www.encamina.com,"ENCAMINA is a Spanish technology consultancy specialized in digital transformation using Microsoft 365, Azure, and AI.",ES
encompass-technologies,Encompass Technologies,https://www.encompasstech.com,Encompass Technologies provides a comprehensive cloud-based CRM and ERP platform for the beverage distribution industry.,US
endeavour-energy-nsw,Endeavour Energy (NSW),https://www.endeavourenergy.com.au,Endeavour Energy is a major Australian electricity distributor serving over 2.4 million people in Sydney's Greater West and surrounding areas.,AU
energiot,Energiot,https://www.energiot.com,Energiot develops IoT sensors and energy harvesting solutions to optimize the monitoring of electrical grids and infrastructure.,ES
engender-technologies-limited,Engender Technologies Limited,https://www.engender.co.nz,Engender Technologies is a New Zealand innovator developing laser-based sperm sorting technology for the global livestock industry.,NZ
engenious,Engenious,https://www.engenious.io,Engenious is an AI-native software engineering firm that helps companies build and scale digital products faster.,NZ
enginy,Enginy,https://erenginy.com,"ER Enginy is a Spanish engineering firm specializing in home automation, industrial consulting, and energy efficiency.",ES
entelar-group,Entelar Group,https://entelar.co.nz,Entelar Group is a leading New Zealand technology distribution and services provider focusing on telecommunications and IT.,NZ
entelgy,Entelgy,https://www.entelgy.com,"Entelgy is a global technology consultancy focused on digital transformation, cybersecurity, and business process automation.",NZ
enusa,"ENUSA Industrias Avanzadas, S.A., S.M.E.",https://www.enusa.es,ENUSA is a Spanish state-owned company specialized in the front end of the nuclear fuel cycle and environmental services.,ES
epi-company,EPI Company,https://epi.group,Epi-interactive (now Epi) is a New Zealand data science and technology firm specializing in interactive dashboards and decision support tools.,NZ
epicom,EPICOM,https://www.epicom.es,EPICOM is a Spanish leader in advanced cryptography and secure communication solutions for government and critical infrastructure.,ES
epson-australia,Epson Australia,https://www.epson.com.au,"Epson Australia provides a broad range of technology products including printers, projectors, and scanners for home and business.",JP
ernesto-vent-s,Ernesto Ventós,https://www.ventos.com,Ernesto Ventós is a Spanish leader in the distribution of raw materials for the fragrance and flavor industries.,ES
escape-velocity-entertainment,Escape Velocity Entertainment,https://eve.games,Escape Velocity Entertainment is a modern game development studio focused on inclusive and innovative gaming experiences.,US
esri,Esri,https://www.esri.com,"Esri is the global market leader in geographic information system (GIS) software, location intelligence, and mapping.",US
eucalyptus,Eucalyptus,https://eucalyptus.vc,Eucalyptus is an Australian health-tech house building and running consumer healthcare brands powered by technology.,AU
evernote,Evernote,https://evernote.com,Evernote is a leading note-taking and task management application designed for archiving and personal organization.,US
evolution-australia,Evolution Australia,https://www.evolutionjobs.com/au,Evolution Australia is a specialist technology recruitment partner providing talent solutions across the AU/NZ region.,AU
evolution,Evolution,https://www.evolution.com,"Evolution is a world-leading developer of B2B online casino solutions, specializing in high-quality live dealer gaming.",SE
evotix,Evotix,https://www.evotix.com,"Evotix provides environment, health, safety (EHS), and wellbeing software to help organizations manage risk.",UK
exoticca,Exoticca,https://www.exoticca.com,"Exoticca is a Spanish online travel agency specializing in high-curated, multi-destination luxury travel packages at accessible prices.",ES
experian-asia-pacific,Experian Asia Pacific,https://www.experian.com.au,Experian is a global information services company providing data analytics and credit reporting solutions across the Asia-Pacific region.,IE
experis-australia,Experis Australia,https://www.experis.com.au,"Experis is a global leader in IT professional resourcing and project-based solutions, part of the ManpowerGroup.",US
f5,F5,https://www.f5.com,"F5 is a global leader in multi-cloud application services and security, helping customers deliver secure digital experiences.",US
fabricados-histron-sl,FABRICADOS HISTRON SL,https://histron.com,Fabricados Histron specializes in the manufacturing of machinery and technological solutions for vehicle inspection (ITV) and workshops.,ES
factech-servicios-inform-ticos,Factech Servicios Informáticos,https://www.factech.es,Factech is a Spanish IT services firm specializing in remote software development and professional staffing for large enterprises.,ES
fat-zebra,Fat Zebra,https://www.fatzebra.com.au,Fat Zebra is a scalable Australian payment gateway providing online credit card processing and payment solutions for merchants.,AU
fideltour,Fideltour,https://www.fideltour.com,Fideltour is a comprehensive CRM and marketing automation platform specifically designed for the hotel and hospitality industry.,ES
fionics,Fionics,https://www.fionics.com,"Fionics is a specialist recruitment and career resource platform for quantitative traders, researchers, and developers.",AU
fistrek,Fistrek,https://fistrek.es,"Fistrek provides civil engineering, BIM modeling, and project management services for infrastructure and urban planning.",IN
fitness-passport,Fitness Passport,https://www.fitnesspassport.com.au,Fitness Passport is a corporate health and fitness program that provides employees with access to a wide network of gyms and pools.,AU
flabelus,Flabelus,https://www.flabelus.com,Flabelus is a Spanish footwear brand known for its stylish and sustainable Venetian-style slippers.,ES
flowbox,Flowbox,https://getflowbox.com,"Flowbox is a leading SaaS platform for User-Generated Content (UGC), enabling brands to leverage social media content in their marketing.",SE
flowww,flowww,https://www.flowww.net,"flowww is a leading Spanish software provider for the aesthetics, beauty, and health sectors.",ES
fluendo,Fluendo,https://www.fluendo.com,Fluendo is a Spanish multimedia software company specializing in legal video and audio codecs for Linux and other platforms.,ES
fnac-espa-a,FNAC España,https://www.fnac.es,Fnac Spain is the local division of the major European retailer of cultural and electronic products.,FR
follett-software,Follett Software,https://www.follettlearning.com,"Follett provides education technology solutions, including library management systems and digital content for K-12 schools.",US
forgotten-empires,Forgotten Empires,https://www.forgottenempires.net,"Forgotten Empires is an independent game developer specializing in real-time strategy games, notably the Age of Empires series.",US
formitize,Formitize,https://www.formitize.com,"Formitize provides a mobile-first business platform for automated inspections, paperless forms, and workflow management.",AU
forwards-talent,Forwards Talent,https://www.forwardstalent.com.au,Forwards Talent is an Australian recruitment agency specializing in talent acquisition for technology and professional services.,AU
foster-moore-the-registry-people,Foster Moore - The registry people ®,https://www.fostermoore.com,Foster Moore is a global leader in providing electronic registry software solutions for governments and legislative agencies.,NZ
fpcm-madrid,Fundación Parque Científico de Madrid,https://www.fpcm.es,"Fundación Parque Científico de Madrid is a non-profit foundation that supports R&D, innovation, and technology-based entrepreneurship.",ES
freedx,Freedx,https://freedx.co,Freedx is a Spanish technology consultancy focusing on digital transformation and innovative business solutions.,ES
freenow,Freenow,https://www.free-now.com,"FREE NOW is a leading European mobility platform offering ride-hailing, taxis, and micromobility services.",DE
fsjd,Fundació de Recerca Sant Joan de Déu,https://www.fsjd.org,"Fundació de Recerca Sant Joan de Déu is a research foundation focused on pediatric medicine, maternal health, and social exclusion.",ES
fulcrum-decision-fdl,Fulcrum Decision (FDL),https://www.fulcrumdecision.com,Fulcrum Decision provides decision analytics and consulting services to help organizations optimize complex business choices.,UK
fusion5,Fusion5,https://www.fusion5.co.nz,Fusion5 is a leading provider of business applications and IT solutions across Australia and New Zealand.,NZ
fusionhit,FusionHit,https://www.fusionhit.com,FusionHit is a software development outsourcing company providing Agile teams and high-quality software solutions.,US
fynd,Fynd,https://www.fynd.com,"Fynd is a global platform for finding and hiring talent, as well as an e-commerce platform for fashion and lifestyle.",AU
galadrim,Galadrim,https://galadrim.fr,"Galadrim is a French technology company specializing in the design and development of web, mobile, and AI solutions.",FR
geeks-on-site,Geeks on Site,https://geeksonsite.com,Geeks on Site provides on-site and remote computer repair and IT support services for homes and businesses.,ES
general-technologies-consulting,General Technologies Consulting,http://www.generalsw.com,General Technologies Consulting (GTC) is a Spanish firm specializing in software development and technology consulting services.,ES
generate-kiwisaver-scheme,Generate KiwiSaver Scheme,https://www.generatewealth.co.nz,Generate is a specialist New Zealand KiwiSaver and wealth management provider with a focus on investment performance and service.,NZ
genius-sports,Genius Sports,https://www.geniussports.com,"Genius Sports is a global leader in sports data and technology, providing data-driven solutions for the sports, betting, and media industries.",UK
gensrv-pty-ltd,GenSrv Pty Ltd,https://gensrv.com,"GenSrv Pty Ltd is a technology company specializing in power generation services, thermal design, and electrical engineering.",AU
gesnaer-consulting,Gesnaer Consulting,https://gesnaer.es,"Gesnaer Consulting is an engineering and technology company specializing in airport, air navigation, and transport sectors.",ES
gesti-n-de-residencias,Gestión de Residencias,https://www.gestionderesidencias.es,Gestión de Residencias (GdR) provides software solutions for care home management and resident monitoring.,ES
globant,Globant,https://www.globant.com,Globant is a digitally native company that helps organizations reinvent themselves and unleash their potential through technology.,AR
globewest,GLOBEWEST,https://www.globewest.com.au,GlobeWest is an Australian distributor of boutique furniture and homewares for the interiors industry.,AU
gmv,GMV,https://www.gmv.com,"GMV is a global technology group providing solutions in Space, Aeronautics, Defense, Cybersecurity, and Intelligent Transportation Systems.",ES
gofacing,"goFacing, Cloud videoconference & Collaboration",https://gofacing.com,goFacing offers Cloud videoconference and collaboration solutions compatible with Microsoft Teams and Google Meet.,ES
gopro,GoPro,https://gopro.com,GoPro is an American technology company that manufactures action cameras and develops its own video-editing software and mobile apps.,US
gramian-consulting,Gramian Consulting,https://gramianconsulting.com,Gramian Consulting Group is a technology consultancy providing IT professional services and engineering talent solutions.,ES
greek-peak-mountain-resort,Greek Peak Mountain Resort,https://www.greekpeak.net,Greek Peak Mountain Resort is a four-season mountain resort in Central New York.,US
gridsight,GRIDSIGHT,https://gridsight.ai,GRIDSIGHT provides grid analytics software to help electrical utilities manage the transition to a decentralized and renewable energy future.,AU
grupo-alonso,Grupo Alonso,https://grupo-alonso.com,Grupo Alonso is a Spanish logistics and transport group with global presence and a focus on sustainability and innovation.,ES
grupo-amper,Grupo Amper,https://www.grupoamper.com,"Grupo Amper is a Spanish technology leader specializing in communications, security, and defense solutions.",ES
grupo-de-prado,Grupo De Prado,https://www.deprado.eu,"Grupo De Prado is an agro-industrial company specializing in the production of olive oil, table olives, and almonds.",ES
grupo-fire,Grupo Fire,https://fire.es,"Grupo Fire specializes in fire protection systems, offering installation, maintenance, and technical services across Spain.",ES
grupo-noria,Grupo Noria,https://gruponoria.com,"Grupo Noria is a Spanish group focused on the distribution of electrical, fluid, and telecommunications materials.",ES
grupo-spec,Grupo SPEC,https://www.grupospec.com,Grupo SPEC specializes in software and hardware solutions for time management and access control.,ES
gs,GISPERT,https://www.gispert.eu,"GISPERT is a technology company providing IT solutions, cybersecurity, and managed services for businesses.",ES
hanwha-defence-australia,Hanwha Defence Australia,https://www.hanwha-defence.com.au,"Hanwha Defence Australia is the local subsidiary of the Korean defense giant, building sovereign capabilities for the ADF.",KR
harris-farms-ltd,Harris Farms Ltd,https://www.harrisfarm.com.au,Harris Farm Markets is a premium Australian fruit and vegetable retailer known for high-quality fresh produce.,NZ
harvey,Harvey.,https://hrecruitment.com.au,"Harvey Recruitment is an Australian specialist firm focusing on mining, engineering, and digital talent.",AU
hasten-group,Hasten Group,https://www.grupohasten.com,"Hasten Group is an IT consultancy specializing in digital transformation, software development, and professional staffing.",ES
hato-hone-st-john,Hato Hone St John,https://www.stjohn.org.nz,Hato Hone St John provides emergency ambulance services and community health programs across New Zealand.,NZ
hawkins,Hawkins,https://www.hawkins.co.nz,"Hawkins is one of New Zealand's leading construction companies, delivering transformational projects across commercial, healthcare, and infrastructure sectors.",NZ
hellofresh,HelloFresh,https://www.hellofresh.com,"HelloFresh is the world's leading meal kit company, providing fresh ingredients and recipes delivered to customers' doors.",DE
henry-schein-one-uk,Henry Schein One UK,https://www.henryscheinone.co.uk,Henry Schein One UK provides dental practice management software and marketing solutions to help dental professionals thrive.,GB
hexaware-technologies,Hexaware Technologies,https://hexaware.com,"Hexaware Technologies is a leading global provider of IT, BPO, and consulting services headquartered in India.",IN
hi-iberia-ingenier-a-y-proyectos,HI Iberia Ingeniería y Proyectos,https://www.hi-iberia.es,"HI Iberia is a technology consultancy specializing in R&D, software engineering, and innovative IT solutions.",ES
hilo-by-aktiia,Hilo by Aktiia,https://www.aktiia.com/hilo,Hilo by Aktiia is a smart blood pressure monitoring solution providing 24/7 automated tracking and personalized insights.,CH
homa,Homa,https://www.homagames.com,Homa (formerly Homa Games) is a leading platform for developing and publishing mobile hyper-casual games.,FR
horizon-digital,Horizon Digital,https://horizondigital.au,Horizon Digital is an Australian technology consultancy specializing in software development and data engineering.,AU
hub24-limited,HUB24 Limited,https://www.hub24.com.au,HUB24 is an Australian fintech service provider and operator of an investment platform for financial advisors.,AU
human-made,Human Made,https://humanmade.com,Human Made is a global technology consultancy and agency specializing in enterprise WordPress and digital experience platforms.,UK
huspy,Huspy,https://www.huspy.com,Huspy is a PropTech company that simplifies the home-buying process and mortgage application through technology.,AE
hutt-city-council,Hutt City Council,https://www.huttcity.govt.nz,"Hutt City Council is the local government authority for Lower Hutt, New Zealand, providing community services and infrastructure.",NZ
hynds-pipe-systems-limited,Hynds Pipe Systems Limited,https://www.hynds.co.nz,"Hynds Pipe Systems is a major supplier of water and infrastructure products in New Zealand, specializing in concrete and plastic piping solutions.",NZ
hypt,hypt,https://hypt.com,hypt is an Australian shopper-engagement platform that helps brands connect with customers through gamified rewards.,AU
iav-gmbh,IAV GmbH,https://www.iav.com,"IAV is one of the world’s leading engineering partners to the automotive industry, developing innovative solutions for future mobility.",DE
ibm,IBM,https://www.ibm.com,"IBM is a global technology and innovation company, the largest technology and consulting employer in the world.",US
ignite-visibility,Ignite Visibility,https://ignitevisibility.com,"Ignite Visibility is a full-service digital marketing agency specializing in SEO, PPC, and social media.",US
ilerna,iLERNA,https://www.ilerna.es,iLERNA is a leading Spanish vocational training center offering a wide range of official online and on-site programs.,ES
ilovepdf,iLovePDF,https://www.ilovepdf.com,iLovePDF is a popular online service for PDF document management and editing tools.,ES
ima-health,IMA Health,https://ima.health,IMA Health (IMA Contigo) is a Spanish med-tech startup providing medication management services for chronic patients.,ES
indra-group,Indra Group,https://www.indracompany.com,Indra is a global technology and consulting company and a leading player in defense and transportation.,ES
infatica-io,Infatica.io,https://infatica.io,Infatica provides proxy networks and web scraping solutions for data extraction and market research.,SG
infocentric,InfoCentric,https://www.infocentric.com.au,InfoCentric is a data and AI specialist consultancy serving Australian businesses.,AU
ing-espa-a-portugal,ING España&Portugal,https://www.ing.es,ING España & Portugal is the Spanish and Portuguese arm of the global ING Group financial institution.,NL
ingenico,Ingenico,https://www.ingenico.com,"Ingenico is a global leader in seamless payment solutions, providing smart, trusted and secure solutions to empower commerce.",FR
ingram-micro,Ingram Micro,https://www.ingrammicro.com,Ingram Micro is the world's largest technology distributor and a leading provider of supply chain and mobile device lifecycles.,US
innoqubit,InnoQubit,https://www.innoqubit.com,InnoQubit is a Spanish software firm developing solutions to automate business processes and digitalize organizations.,ES
innovamat,Innovamat,https://www.innovamat.com,Innovamat is a Spanish ed-tech company that provides a transformative approach to learning mathematics in schools.,ES
innovation-group-spain,Innovation Group Spain,https://www.innovation.group/es/,Innovation Group provides technology-led insurance and fleet services global solutions.,ES
innovent-software,Innovent Software,https://www.innoventsoftware.com.au,Innovent Software is an Australian technology firm specializing in bespoke software development and digital strategy.,AU
insightwise,InsightWise,https://www.insightwise.ai,InsightWise is an AI-powered insights platform for qualitative data analysis and strategy teams.,AU
intecfy,Intecfy,https://intecfy.com,Intecfy is a Spanish IT recruitment agency connecting businesses with top freelance tech talent across Europe.,ES
intell-it,Intell-IT,http://intelltech.in,INTELLTECH is an IT services provider in India focusing on contract staff augmentation and specialized technology talent.,IN
intellias,Intellias,https://intellias.com,Intellias is a global software engineering and digital consulting company.,UA
interface-agency-australia,Interface Agency Australia,https://interface-agency.com,Interface Agency is a specialist recruitment firm focused on Technology & Transformation.,AU
intetics,Intetics,https://intetics.com,Intetics is a leading global technology company providing custom software application development and distributed teams.,US
intrec-ai-recruitment,IntRec AI Recruitment,https://www.intrec.io,IntRec is a technology-led recruitment firm that utilizes AI-driven software to optimize the hiring process.,AU
investorhub,InvestorHub,https://investorhub.com,InvestorHub is an Australian investor relations platform that helps listed companies engage and grow their shareholder base.,AU
invopop-yc-w23,Invopop (YC W23),https://invopop.com,Invopop provides a global electronic invoicing and tax compliance API for businesses.,ES
inzu-group,INZU Group,https://www.inzugroup.com,INZU Group is an international industrial group based in Spain specializing in high-value manufacturing solutions and R&D.,ES
iqana,Iqana,https://www.iqana.at,Iqana is an Austrian company specializing in high-performance radio frequency (RF) solutions for wireless communications.,AT
iscarem-human-resources-s-l,"ISCAREM Human Resources, S.L.",https://iscarem.com,ISCAREM Human Resources is a recruitment firm specializing in technology and engineering talent.,ES
iselect,iSelect,https://www.iselect.com.au,"iSelect is Australia's leading destination for comparison and purchasing of insurance, utilities, and personal finance products.",AU
it-partner,IT Partner,https://www.itpartner.es,IT Partner is an IT consulting and outsourcing firm specializing in talent acquisition.,ES
itbility,ITbility,https://itbility.com.au,ITbility is an IT recruitment and business advisory firm based in Australia.,AU
itc-infotech,ITC Infotech,https://www.itcinfotech.com,"ITC Infotech is a global technology services and solutions provider, part of ITC Limited.",IN
itcc-digital,ITCC Digital,https://itcc.co,ITCC Digital is a software development and digital transformation agency based in Melbourne.,AU
itg-technology-center,ITG Technology Center,https://itg.es,"ITG (Instituto Tecnológico de Galicia) is a technology center specializing in AI, robotics, and energy systems.",ES
itw-asia-pacific,ITW Construction Asia Pacific,https://www.itwcap.com,ITW Construction Asia Pacific is a leading manufacturer of construction materials and fastening systems.,US
izzard,Izzard,https://www.izzard.co.nz,Izzard Design is an interior design and architecture studio based in New Zealand.,NZ
j4rvis,J4RVIS,https://www.j4rvis.com,J4RVIS is a technology consultancy specializing in Salesforce and MuleSoft implementations to drive digital transformation.,AU
jakala,JAKALA,https://www.jakala.com,JAKALA is a leading martech company that provides data-driven marketing and technology solutions to accelerate business growth.,IT
january-capital,January Capital,https://january.capital,January Capital is a technology-focused venture capital firm investing across the Asia-Pacific region.,SG
jfc-ltd,JFC Ltd,https://www.jfcgroup.ie,"JFC Group specializes in the design and manufacture of high-quality plastic products for the agricultural, construction, and marine sectors.",IE
jfrog,JFrog,https://jfrog.com,JFrog is a leading provider of end-to-end software supply chain platforms and DevOps solutions for continuous software delivery.,US
jjungles-agencyos,JJungles™ AgencyOS,https://jjungles.com,"JJungles provides AgencyOS, a comprehensive operating system designed to automate workflows for digital agencies.",AU
jobhunter,Jobhunter,https://www.jobhunter.es,Jobhunter is a recruitment consultancy in Spain specializing in connecting talent with opportunities in the digital and tech sectors.,ES
joko,Joko,https://www.joko.com,"Joko is a shopping app that centralizes rewards, cashback, and BNPL services to enhance the consumer shopping experience.",FR
journi,Journi,https://www.journiapp.com,Journi provides a smart photo platform that helps users create beautiful photo books and digital journals effortlessly using AI.,AT
julius-baer,Julius Baer,https://www.juliusbaer.com,"Julius Baer is the leading Swiss wealth management group, focusing on providing expert advice to private clients globally.",CH
just-digital-people,Just Digital People,https://www.justdigitalpeople.com.au,Just Digital People is a leading Australian recruitment agency focused exclusively on technical and digital roles.,AU
k-lagan,K-LAGAN,https://www.k-lagan.com,"K-LAGAN is a Spanish technology consultancy providing services in software engineering, digital transformation, and business strategy.",ES
k2-partnering-solutions,K2 Partnering Solutions,https://k2partnering.com,K2 Partnering Solutions is a global consultative technology staffing firm specializing in high-end ERP and cloud talent.,UK
kaimate-nz-ltd,KaiMate NZ Ltd.,https://www.kaimatapet.co.nz,Kaimata Petfood is a New Zealand producer of premium raw and natural pet food and treats.,NZ
kaluza,Kaluza,https://www.kaluza.com,Kaluza is an intelligent energy platform providing software to help energy suppliers manage complex grids and renewables.,UK
kapa-ai,kapa.ai,https://www.kapa.ai,kapa.ai is an AI-powered platform that helps developer-facing companies automate technical support and documentation search.,US
kd,KD,https://kd.tech,KD (Knowledge Development) is a Spanish semiconductor company specializing in high-speed optical networking for harsh environments.,ES
kenmei,Kenmei,https://www.kenmei.ai,Kenmei Technologies provides AI-powered intelligence software for telecommunications networks to automate and optimize operations.,ES
keysight-technologies,Keysight Technologies,https://www.keysight.com,Keysight Technologies is a leading technology company that delivers advanced design and validation solutions to the global electronics market.,US
komvida-organic-kombucha,Komvida Organic Kombucha,https://komvida.com,"Komvida is a Spanish manufacturer of organic kombucha, known for its traditional brewing methods and quality ingredients.",ES
konica-minolta-australia,Konica Minolta Australia,https://www.konicaminolta.com.au,"Konica Minolta Australia provides high-quality printing, imaging, and IT business solutions for enterprises.",JP
kordamentha,KordaMentha,https://www.kordamentha.com,"KordaMentha is an advisory and investment firm providing restructuring, forensic, and real estate services in Australia.",AU
kordia,Kordia,https://www.kordia.co.nz,"Kordia is a leading New Zealand provider of mission-critical technology solutions including network, cyber, and ICT services.",NZ
kore,KORE,https://kore.ai,Kore.ai is a leading enterprise conversational AI platform that helps companies automate interactions through intelligent virtual assistants.,US
kpmg-espa-a,KPMG España,https://www.kpmg.es,"KPMG Spain is the local member firm of the global network of professional services firms providing audit, tax, and advisory services.",NL
kyndryl,Kyndryl,https://www.kyndryl.com,"Kyndryl is the world's largest IT infrastructure services provider, helping organizations design, build, and manage critical systems.",US
la-salle-bcn,La Salle BCN,https://www.salleurl.edu,"La Salle Barcelona is a prestigious university center specializing in engineering, architecture, and business management.",ES
lacoste,Lacoste,https://www.lacoste.com,Lacoste is a famous French lifestyle brand known for its iconic polo shirts and premium apparel and accessories.,FR
lago-s-p-a,Lago S.p.a.,https://www.lago.it,LAGO is an innovative Italian furniture brand known for its suspended designs and high-quality modular living solutions.,IT
landbot,Landbot,https://landbot.io,Landbot is a no-code chatbot platform that helps businesses build interactive conversational experiences to convert more leads.,ES
laravel,Laravel,https://laravel.com,"Laravel is a popular open-source PHP web framework, created by Taylor Otwell and intended for the development of web applications.",US
laser-group-nz,Laser® Group NZ,https://www.lasergroup.co.nz,"Laser Group NZ is New Zealand's largest network of plumbing and electrical contractors, providing quality services nationwide.",NZ
lastminute-com,lastminute.com,https://www.lastminute.com,"lastminute.com is a leading European travel tech company providing a wide range of services for booking flights, hotels, and holidays.",CH
lawy,LawY,https://lawy.ai,LawY is an Australian-developed AI legal assistant designed to help lawyers draft documents and research case law efficiently.,AU
lazard,Lazard,https://www.lazard.com,Lazard is a global preeminent financial advisory and asset management firm with a presence in all major financial centers.,US
ledgy,Ledgy,https://www.ledgy.com,"Ledgy is an equity management platform for high-growth startups and scale-ups, helping them manage cap tables and employee participation.",CH
leidos,Leidos,https://www.leidos.com,"Leidos is a global leader in science and technology solutions for the defense, intelligence, civil, and health markets.",US
les-mills-international,Les Mills International,https://www.lesmills.com,"Les Mills is a global fitness leader, originating from New Zealand, famous for its group fitness programs like BODYPUMP and BODYCOMBAT.",NZ
libran-it,Libran IT,https://libranit.com,"Libran IT is an Australian-owned company providing quality IT services, including consulting, project management, and recruitment.",AU
lidl-espa-a,Lidl España,https://www.lidl.es,"Lidl Spain is the local division of the major European discount supermarket chain, operating over 600 stores in the country.",DE
lifebyte-systems,LifeByte Systems,https://lifebyte.io,LifeByte is a high-growth fintech company in Sydney providing innovative digital solutions for global financial markets.,AU
lifehealthcare,LifeHealthcare,https://www.lifehealthcare.com.au,"LifeHealthcare is one of Australia’s leading independent medical device distributors, representing global innovative manufacturers.",AU
light-wonder,Light & Wonder,https://www.lnw.com,"Light & Wonder is a global leader in cross-platform games and entertainment, providing content and hardware for land-based and digital gaming.",US
lightfield-medical,Lightfield Medical,https://lightfieldmedical.com,Lightfield Medical is an innovative medical technology company developing automated slit lamps to digitize and enhance eye exams.,AU
lightspeed-commerce,Lightspeed Commerce,https://www.lightspeedhq.com,Lightspeed Commerce is a company profile created during backlog processing.,CA
localstack,LocalStack,https://localstack.cloud,"LocalStack provides a fully functional local AWS cloud stack, allowing developers to test cloud applications offline.",DE
logisfashion,Logisfashion,https://www.logisfashion.com,"Logisfashion is a global logistics operator specialized in fashion, providing end-to-end supply chain solutions for the apparel industry.",ES
lookahead,Lookahead,https://www.lookahead.com.au,Lookahead is a specialist Australian technology recruitment agency focusing on engineering and leadership talent.,AU
lookiero,Lookiero,https://lookiero.es,"Lookiero is a leading European personal shopping service for women, combining AI with expert stylists to deliver curated outfits.",ES
luce-innovative-technologies,Luce Innovative Technologies,https://www.luceit.com,"Luce IT is a Spanish technology company specializing in data, AI, and digital transformation to optimize business processes.",ES
lumi,Lumi,https://www.lumi.com.au,Lumi is an Australian fintech company providing fast and flexible business loans and lines of credit to SMEs.,AU
luzia,Luzia,https://www.luzia.com,"Luzia is a popular Spanish AI assistant integrated with WhatsApp and Telegram, providing text and voice interaction services.",ES
lyra,Lyra,https://www.lyra.com,Lyra Health is a leading provider of comprehensive mental health benefits for global employees and their families.,AU
m47-ai-company,M47 - AI Company,https://www.m47labs.com,M47 AI Company (M47 Labs) provides high-quality data labeling and AI training services to help companies build robust machine learning models.,ES
machines-at-work,Machines at Work,https://www.machinesatwork.com.au,Machines at Work specializes in autonomous agricultural robotics and technology for orchards and vineyards.,AU
main-sequence,Main Sequence,https://www.mainsequence.vc,Main Sequence is an Australian venture capital firm founded by CSIRO to invest in deep tech companies solving global challenges.,AU
makereatu-technology,Makereatu Technology,https://www.makereatu.com,Makereatu Technology is an innovative firm providing AI-powered infrastructure advisory and custom software solutions.,NZ
mango,MANGO,https://www.mango.com,"Mango is a globally recognized Spanish fashion brand specializing in clothing and accessories for women, men, and children.",ES
mapit-iot,Mapit Iot,https://mapit.me,"Mapit IoT provides advanced GPS tracking and connectivity solutions for motorcycles, enhancing security and rider experience.",ES
market-control,Market Control,https://www.marketcontrol.com,Market Control provides retail analytics and sales optimization software for the consumer goods and pharmaceutical sectors.,ES
marks-sattin,Marks Sattin,https://www.markssattin.co.uk,"Marks Sattin is a specialist recruitment consultancy focusing on finance, accounting, technology, and legal sectors.",UK
marqo,Marqo,https://www.marqo.ai,Marqo is an open-source vector search engine designed to power AI-driven applications with semantic search capabilities.,AU
marsh-risk,Marsh Risk,https://www.marsh.com,"Marsh is the world's leading insurance broker and risk advisor, providing risk management and insurance solutions to global businesses.",US
marvell-technology,Marvell Technology,https://www.marvell.com,"Marvell Technology is a leading provider of semiconductor solutions for infrastructure, data centers, and automotive.",US
may-business,May Business Consulting (Spain) by Izertis,https://may-bc.com,"May Business Consulting, part of Izertis, provides strategic business consulting and technological transformation services.",ES
mayday-technology,MAYDAY Technology,https://www.getmayday.com,Mayday provides finance automation and accounting software to streamline month-end processes and intercompany accounting.,AU
mbie,"Ministry of Business, Innovation and Employment",https://www.mbie.govt.nz,"The Ministry of Business, Innovation and Employment (MBIE) is the public service department of New Zealand responsible for economic development.",NZ
mc-engineering,MC Engineering,https://www.mc-engineering.com,MC Engineering is a global technology consultancy providing integrated engineering and digital solutions for complex industries.,IT
